,Airline,Source,Destination,Total_Stops,Price,Duration_In_Min,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Journey_month,Journey_day
1703,IndiGo,Banglore,New Delhi,0,8033,170.0,16,55,19,45,March,Friday
1704,IndiGo,Banglore,New Delhi,0,6860,175.0,18,25,21,20,March,Saturday
1705,Multiple carriers,Delhi,Cochin,1,6953,455.0,11,40,19,15,March,Wednesday
1706,IndiGo,Banglore,Delhi,0,4823,175.0,7,10,10,5,May,Sunday
1707,IndiGo,Kolkata,Banglore,0,4174,155.0,4,40,7,15,April,Tuesday
1708,Jet Airways,Delhi,Cochin,2,12819,1775.0,13,25,19,0,June,Thursday
1709,Jet Airways,Kolkata,Banglore,1,9663,450.0,21,10,4,40,May,Wednesday
1710,SpiceJet,Kolkata,Banglore,0,3841,155.0,6,55,9,30,May,Friday
1711,IndiGo,Delhi,Cochin,0,5000,195.0,5,35,8,50,June,Thursday
1712,Air India,Banglore,New Delhi,2,13366,980.0,5,50,22,10,March,Friday
1713,Vistara,Mumbai,Hyderabad,1,12395,1130.0,21,55,16,45,March,Wednesday
1714,Air India,Kolkata,Banglore,1,7452,1700.0,16,45,21,5,May,Wednesday
1715,Jet Airways,Delhi,Cochin,1,15554,1395.0,19,45,19,0,May,Saturday
1716,Jet Airways,Kolkata,Banglore,1,13067,1325.0,17,0,15,5,May,Monday
1717,IndiGo,Kolkata,Banglore,0,6565,155.0,15,10,17,45,March,Friday
1718,SpiceJet,Mumbai,Hyderabad,0,1965,90.0,5,45,7,15,May,Friday
1719,SpiceJet,Chennai,Kolkata,0,3332,155.0,9,30,12,5,March,Wednesday
1720,IndiGo,Banglore,New Delhi,1,6208,285.0,5,25,10,10,March,Thursday
1721,Air India,Banglore,New Delhi,1,11161,1730.0,13,50,18,40,March,Monday
1722,Air India,Kolkata,Banglore,2,12224,1665.0,10,0,13,45,June,Wednesday
1723,Jet Airways,Kolkata,Banglore,1,9663,1025.0,18,55,12,0,May,Wednesday
1724,Jet Airways,Banglore,New Delhi,1,12284,380.0,8,55,15,15,March,Monday
1725,Air India,Delhi,Cochin,1,7480,965.0,17,20,9,25,May,Monday
1726,Jet Airways,Delhi,Cochin,1,17024,550.0,19,15,4,25,March,Wednesday
1727,Jet Airways,Kolkata,Banglore,1,14151,1365.0,20,25,19,10,June,Thursday
1728,IndiGo,Kolkata,Banglore,0,4804,155.0,17,15,19,50,June,Friday
1729,IndiGo,Delhi,Cochin,1,6069,300.0,16,0,21,0,May,Saturday
1730,Vistara,Banglore,New Delhi,1,6065,915.0,6,40,21,55,March,Thursday
1731,Jet Airways,Kolkata,Banglore,1,14151,800.0,20,25,9,45,May,Saturday
1732,Jet Airways,Kolkata,Banglore,1,14231,1025.0,18,55,12,0,March,Sunday
1733,Vistara,Mumbai,Hyderabad,1,12395,1065.0,15,40,9,25,March,Wednesday
1734,IndiGo,Delhi,Cochin,1,5636,325.0,2,0,7,25,April,Wednesday
1735,Air India,Delhi,Cochin,1,5232,320.0,17,40,23,0,April,Saturday
1736,Jet Airways,Delhi,Cochin,1,14714,865.0,14,0,4,25,June,Saturday
1737,IndiGo,Chennai,Kolkata,0,3850,140.0,7,55,10,15,May,Monday
1738,Air India,Delhi,Cochin,1,7258,955.0,17,40,9,35,May,Monday
1739,Jet Airways,Banglore,New Delhi,1,17471,1375.0,21,25,20,20,March,Wednesday
1740,SpiceJet,Banglore,Delhi,0,4423,175.0,21,10,0,5,May,Thursday
1741,IndiGo,Mumbai,Hyderabad,0,2227,90.0,21,20,22,50,June,Tuesday
1742,Multiple carriers,Delhi,Cochin,1,13377,930.0,10,0,1,30,June,Monday
1743,Jet Airways,Banglore,Delhi,0,8016,180.0,8,20,11,20,June,Wednesday
1744,Air India,Banglore,New Delhi,1,5626,1560.0,6,50,8,50,March,Saturday
1745,IndiGo,Banglore,New Delhi,0,6860,170.0,16,55,19,45,March,Thursday
1746,IndiGo,Delhi,Cochin,1,6628,415.0,18,35,1,30,June,Saturday
1747,Jet Airways,Delhi,Cochin,1,11627,1415.0,13,0,12,35,June,Thursday
1748,SpiceJet,Kolkata,Banglore,0,4174,150.0,17,10,19,40,June,Sunday
1749,Jet Airways,Delhi,Cochin,1,14714,610.0,18,15,4,25,June,Saturday
1750,Jet Airways,Kolkata,Banglore,1,14151,690.0,9,35,21,5,May,Sunday
1751,Jet Airways,Delhi,Cochin,1,12898,1620.0,16,0,19,0,May,Monday
1752,Jet Airways,Delhi,Cochin,1,12373,395.0,21,50,4,25,May,Saturday
1753,IndiGo,Banglore,Delhi,0,3943,170.0,10,10,13,0,June,Tuesday
1754,Air Asia,Kolkata,Banglore,2,7870,500.0,15,10,23,30,June,Sunday
1755,Jet Airways,Banglore,Delhi,0,8016,185.0,18,55,22,0,June,Tuesday
1756,Air India,Delhi,Cochin,2,10975,1220.0,13,5,9,25,May,Wednesday
1757,IndiGo,Chennai,Kolkata,0,3850,140.0,7,55,10,15,May,Monday
1758,IndiGo,Kolkata,Banglore,0,4804,165.0,20,25,23,10,June,Tuesday
1759,Jet Airways,Delhi,Cochin,1,15554,455.0,20,50,4,25,March,Saturday
1760,SpiceJet,Kolkata,Banglore,0,4465,160.0,6,55,9,35,March,Monday
1761,Jet Airways,Kolkata,Banglore,1,11841,775.0,21,10,10,5,June,Sunday
1762,Multiple carriers,Delhi,Cochin,1,19332,675.0,8,0,19,15,March,Saturday
1763,SpiceJet,Kolkata,Banglore,0,3841,150.0,17,10,19,40,June,Friday
1764,IndiGo,Banglore,Delhi,0,4591,170.0,10,10,13,0,April,Friday
1765,IndiGo,Kolkata,Banglore,1,5192,290.0,15,15,20,5,May,Friday
1766,Jet Airways,Delhi,Cochin,1,10577,1100.0,18,15,12,35,June,Sunday
1767,Jet Airways,Delhi,Cochin,2,15129,535.0,19,30,4,25,May,Saturday
1768,Multiple carriers,Delhi,Cochin,1,11789,780.0,6,0,19,0,June,Thursday
1769,Air India,Delhi,Cochin,1,8372,640.0,21,0,7,40,June,Saturday
1770,Multiple carriers,Delhi,Cochin,1,8266,795.0,6,0,19,15,May,Thursday
1771,Jet Airways,Kolkata,Banglore,1,14781,800.0,6,30,19,50,May,Monday
1772,Vistara,Banglore,Delhi,0,5613,155.0,17,0,19,35,April,Sunday
1773,Jet Airways,Banglore,Delhi,0,7229,175.0,15,15,18,10,April,Wednesday
1774,IndiGo,Delhi,Cochin,1,6093,750.0,8,30,21,0,June,Monday
1775,Jet Airways,Delhi,Cochin,2,15544,425.0,5,30,12,35,May,Tuesday
1776,GoAir,Delhi,Cochin,1,6296,370.0,7,25,13,35,May,Saturday
1777,IndiGo,Kolkata,Banglore,0,4804,165.0,9,35,12,20,April,Saturday
1778,Air Asia,Banglore,New Delhi,0,4284,170.0,5,50,8,40,March,Monday
1779,IndiGo,Delhi,Cochin,1,6558,885.0,7,35,22,20,March,Thursday
1780,IndiGo,Delhi,Cochin,1,5775,345.0,21,50,3,35,June,Monday
1781,SpiceJet,Chennai,Kolkata,0,3543,135.0,8,20,10,35,June,Friday
1782,Jet Airways,Delhi,Cochin,1,17024,535.0,9,55,18,50,March,Wednesday
1783,Jet Airways,Mumbai,Hyderabad,0,4050,85.0,7,5,8,30,June,Sunday
1784,Air India,Mumbai,Hyderabad,2,14219,1995.0,6,0,15,15,March,Wednesday
1785,Jet Airways,Banglore,New Delhi,1,26890,405.0,11,40,18,25,March,Friday
1786,Air India,Delhi,Cochin,2,9653,1410.0,19,45,19,15,June,Saturday
1787,IndiGo,Banglore,Delhi,0,3943,165.0,6,5,8,50,June,Friday
1788,Jet Airways,Kolkata,Banglore,1,10844,1575.0,14,5,16,20,May,Saturday
1789,Jet Airways,Kolkata,Banglore,1,8849,450.0,21,10,4,40,April,Monday
1790,IndiGo,Mumbai,Hyderabad,0,2754,90.0,1,40,3,10,June,Wednesday
1791,Air India,Delhi,Cochin,2,10756,2185.0,6,50,19,15,March,Thursday
1792,Jet Airways,Kolkata,Banglore,1,14151,1685.0,17,0,21,5,May,Tuesday
1793,Jet Airways,Kolkata,Banglore,1,9899,740.0,8,25,20,45,June,Wednesday
1794,Jet Airways,Delhi,Cochin,1,12242,385.0,22,0,4,25,March,Thursday
1795,Jet Airways,Delhi,Cochin,2,10368,1025.0,19,30,12,35,June,Sunday
1796,IndiGo,Mumbai,Hyderabad,0,5755,90.0,9,10,10,40,May,Friday
1797,Jet Airways,Delhi,Cochin,1,10262,610.0,18,15,4,25,June,Saturday
1798,SpiceJet,Kolkata,Banglore,1,6643,520.0,8,35,17,15,June,Thursday
1799,Multiple carriers Premium economy,Delhi,Cochin,1,9845,810.0,7,30,21,0,March,Thursday
1800,Jet Airways,Kolkata,Banglore,1,11134,1025.0,18,55,12,0,March,Sunday
1801,SpiceJet,Delhi,Cochin,1,5583,315.0,6,5,11,20,June,Saturday
1802,IndiGo,Delhi,Cochin,1,6069,300.0,16,0,21,0,May,Wednesday
1803,Jet Airways,Banglore,New Delhi,1,13817,875.0,5,45,20,20,March,Tuesday
1804,Air India,Delhi,Cochin,2,10283,2295.0,5,0,19,15,March,Wednesday
1805,Air India,Kolkata,Banglore,1,7795,675.0,9,50,21,5,March,Sunday
1806,Multiple carriers,Delhi,Cochin,1,13977,440.0,0,20,7,40,March,Saturday
1807,Jet Airways,Delhi,Cochin,2,10919,1300.0,6,45,4,25,June,Saturday
1808,IndiGo,Kolkata,Banglore,0,6038,160.0,20,25,23,5,March,Sunday
1809,IndiGo,Delhi,Cochin,0,5601,195.0,5,35,8,50,May,Tuesday
1810,IndiGo,Delhi,Cochin,1,12351,810.0,7,30,21,0,March,Saturday
1811,Air India,Delhi,Cochin,0,6094,170.0,5,10,8,0,April,Monday
1812,Multiple carriers,Delhi,Cochin,1,7575,520.0,10,35,19,15,May,Wednesday
1813,Jet Airways,Delhi,Cochin,1,16079,395.0,21,50,4,25,May,Monday
1814,Jet Airways,Delhi,Cochin,1,10262,1425.0,19,15,19,0,June,Saturday
1815,Air Asia,Delhi,Cochin,1,13470,340.0,16,45,22,25,June,Sunday
1816,Jet Airways,Banglore,Delhi,0,8016,175.0,11,10,14,5,June,Thursday
1817,Jet Airways,Delhi,Cochin,1,16289,1475.0,18,15,18,50,March,Saturday
1818,Jet Airways,Delhi,Cochin,1,10262,520.0,19,45,4,25,June,Thursday
1819,IndiGo,Banglore,Delhi,0,4823,175.0,18,25,21,20,June,Thursday
1820,Vistara,Banglore,Delhi,0,5403,170.0,9,45,12,35,April,Tuesday
1821,Jet Airways,Delhi,Cochin,1,12373,1530.0,17,30,19,0,May,Saturday
1822,SpiceJet,Mumbai,Hyderabad,1,13552,495.0,14,10,22,25,March,Wednesday
1823,Jet Airways,Kolkata,Banglore,1,10844,740.0,8,25,20,45,May,Thursday
1824,Air India,Mumbai,Hyderabad,2,22619,845.0,9,40,23,45,March,Wednesday
1825,Multiple carriers,Delhi,Cochin,1,8625,520.0,10,35,19,15,May,Monday
1826,IndiGo,Banglore,New Delhi,0,4777,165.0,6,0,8,45,March,Sunday
1827,IndiGo,Delhi,Cochin,0,5000,195.0,5,35,8,50,June,Friday
1828,Jet Airways,Delhi,Cochin,2,21954,1475.0,19,10,19,45,March,Wednesday
1829,Jet Airways,Delhi,Cochin,1,11627,1015.0,11,30,4,25,June,Monday
1830,Jet Airways,Kolkata,Banglore,1,13731,875.0,14,5,4,40,May,Friday
1831,IndiGo,Banglore,Delhi,0,3943,170.0,22,10,1,0,April,Wednesday
1832,Jet Airways,Banglore,New Delhi,1,6992,845.0,8,55,23,0,March,Thursday
1833,Jet Airways,Kolkata,Banglore,1,13941,585.0,18,55,4,40,May,Monday
1834,Jet Airways,Delhi,Cochin,1,14924,660.0,8,0,19,0,June,Wednesday
1835,Jet Airways,Delhi,Cochin,1,18371,620.0,2,15,12,35,June,Thursday
1836,IndiGo,Chennai,Kolkata,0,7295,140.0,19,35,21,55,March,Sunday
1837,Air India,Banglore,New Delhi,1,9292,1420.0,17,0,16,40,March,Saturday
1838,Jet Airways,Kolkata,Banglore,1,13941,735.0,20,0,8,15,May,Wednesday
1839,IndiGo,Kolkata,Banglore,1,4150,335.0,4,15,9,50,March,Sunday
1840,Jet Airways,Kolkata,Banglore,1,12681,1655.0,20,0,23,35,April,Monday
1841,IndiGo,Delhi,Cochin,0,5601,195.0,5,35,8,50,June,Monday
1842,Air India,Kolkata,Banglore,2,14960,1385.0,9,50,8,55,May,Tuesday
1843,Multiple carriers,Delhi,Cochin,1,13377,570.0,16,0,1,30,June,Thursday
1844,IndiGo,Mumbai,Hyderabad,0,3342,85.0,12,0,13,25,March,Thursday
1845,Jet Airways,Banglore,Delhi,0,8016,175.0,11,10,14,5,June,Thursday
1846,Jet Airways,Banglore,New Delhi,1,16736,1035.0,5,45,23,0,March,Wednesday
1847,Jet Airways,Kolkata,Banglore,1,10031,1350.0,21,10,19,40,March,Sunday
1848,Air India,Delhi,Cochin,1,7258,705.0,20,30,8,15,April,Sunday
1849,Jet Airways,Banglore,Delhi,0,4030,165.0,6,0,8,45,May,Wednesday
1850,Air India,Delhi,Cochin,2,13381,1730.0,14,25,19,15,June,Monday
1851,Jet Airways,Delhi,Cochin,2,16704,1760.0,23,5,4,25,May,Friday
1852,Multiple carriers,Delhi,Cochin,1,13587,720.0,9,0,21,0,June,Monday
1853,Jet Airways,Mumbai,Hyderabad,0,5678,85.0,2,55,4,20,May,Friday
1854,Jet Airways,Kolkata,Banglore,1,7064,1610.0,6,30,9,20,April,Monday
1855,IndiGo,Mumbai,Hyderabad,0,2754,90.0,1,40,3,10,June,Monday
1856,Vistara,Banglore,Delhi,0,4668,170.0,9,45,12,35,May,Wednesday
1857,Air Asia,Kolkata,Banglore,0,4107,150.0,19,55,22,25,June,Friday
1858,IndiGo,Delhi,Cochin,1,5894,965.0,4,55,21,0,June,Wednesday
1859,Jet Airways,Delhi,Cochin,1,10262,655.0,17,30,4,25,June,Thursday
1860,Jet Airways,Kolkata,Banglore,1,13941,945.0,16,30,8,15,May,Thursday
1861,Air Asia,Delhi,Cochin,1,6451,865.0,16,45,7,10,April,Saturday
1862,Air India,Delhi,Cochin,2,10975,1420.0,9,45,9,25,June,Thursday
1863,Air India,Delhi,Cochin,2,14746,1180.0,12,0,7,40,March,Wednesday
1864,Air Asia,Delhi,Cochin,1,11410,625.0,20,45,7,10,June,Thursday
1865,SpiceJet,Kolkata,Banglore,0,3841,155.0,6,55,9,30,May,Wednesday
1866,Air India,Delhi,Cochin,2,13381,1490.0,6,50,7,40,June,Monday
1867,Multiple carriers,Delhi,Cochin,1,15078,840.0,11,30,1,30,May,Thursday
1868,Air India,Kolkata,Banglore,1,8891,545.0,9,25,18,30,May,Thursday
1869,Jet Airways,Kolkata,Banglore,1,7757,1200.0,14,5,10,5,May,Thursday
1870,Air India,Banglore,Delhi,0,4441,180.0,5,45,8,45,April,Tuesday
1871,Jet Airways,Kolkata,Banglore,1,10031,1345.0,19,45,18,10,March,Sunday
1872,IndiGo,Banglore,Delhi,0,4823,170.0,13,0,15,50,April,Friday
1873,Air India,Kolkata,Banglore,1,8576,545.0,9,25,18,30,May,Friday
1874,Jet Airways,Banglore,New Delhi,1,11087,1175.0,20,35,16,10,March,Tuesday
1875,Jet Airways,Delhi,Cochin,1,12373,1595.0,10,0,12,35,May,Saturday
1876,Air India,Kolkata,Banglore,2,11432,1210.0,9,25,5,35,May,Tuesday
1877,IndiGo,Mumbai,Hyderabad,0,3175,90.0,16,55,18,25,June,Saturday
1878,IndiGo,Kolkata,Banglore,0,4804,165.0,9,35,12,20,May,Sunday
1879,Jet Airways,Delhi,Cochin,2,13014,1615.0,9,40,12,35,June,Thursday
1880,Multiple carriers,Delhi,Cochin,1,7563,910.0,7,10,22,20,March,Wednesday
1881,SpiceJet,Kolkata,Banglore,0,3873,145.0,9,0,11,25,June,Thursday
1882,IndiGo,Delhi,Cochin,1,6282,780.0,11,55,0,55,May,Tuesday
1883,Multiple carriers,Delhi,Cochin,1,11200,630.0,8,30,19,0,June,Saturday
1884,Vistara,Banglore,Delhi,0,5613,165.0,19,30,22,15,April,Wednesday
1885,IndiGo,Delhi,Cochin,0,5601,195.0,14,20,17,35,June,Sunday
1886,Jet Airways,Delhi,Cochin,1,10262,1355.0,14,0,12,35,June,Saturday
1887,IndiGo,Banglore,New Delhi,0,14306,175.0,20,0,22,55,March,Friday
1888,Jet Airways,Kolkata,Banglore,1,7064,1485.0,20,0,20,45,April,Monday
1889,Jet Airways,Delhi,Cochin,1,18371,715.0,7,5,19,0,June,Thursday
1890,Air India,Delhi,Cochin,2,13591,1380.0,20,15,19,15,May,Saturday
1891,Jet Airways,Delhi,Cochin,2,10368,1615.0,9,40,12,35,June,Saturday
1892,Multiple carriers,Delhi,Cochin,2,18275,460.0,17,50,1,30,June,Wednesday
1893,IndiGo,Banglore,Delhi,0,3749,170.0,22,10,1,0,May,Monday
1894,Air Asia,Kolkata,Banglore,2,6810,500.0,15,10,23,30,June,Thursday
1895,Multiple carriers,Delhi,Cochin,1,7485,560.0,11,40,21,0,May,Tuesday
1896,Air India,Kolkata,Banglore,0,5510,150.0,14,15,16,45,May,Monday
1897,Jet Airways,Delhi,Cochin,1,10262,610.0,18,15,4,25,June,Monday
1898,Multiple carriers,Delhi,Cochin,1,6723,540.0,7,10,16,10,June,Monday
1899,Multiple carriers,Delhi,Cochin,1,8307,450.0,8,0,15,30,March,Thursday
1900,GoAir,Delhi,Cochin,1,6146,460.0,5,55,13,35,April,Sunday
1901,Jet Airways,Delhi,Cochin,2,15129,1390.0,13,25,12,35,May,Monday
1902,Jet Airways,Kolkata,Banglore,1,14388,330.0,6,30,12,0,May,Wednesday
1903,Jet Airways,Banglore,Delhi,0,4544,165.0,6,0,8,45,April,Saturday
1904,Jet Airways,Banglore,Delhi,0,5198,175.0,11,10,14,5,April,Friday
1905,IndiGo,Delhi,Cochin,1,7503,975.0,9,15,1,30,May,Saturday
1906,GoAir,Banglore,New Delhi,1,12314,270.0,15,45,20,15,March,Friday
1907,Air India,Delhi,Cochin,1,8372,375.0,13,0,19,15,May,Wednesday
1908,Jet Airways,Kolkata,Banglore,1,14781,425.0,16,30,23,35,May,Tuesday
1909,Jet Airways,Banglore,Delhi,0,8016,180.0,19,50,22,50,June,Monday
1910,IndiGo,Chennai,Kolkata,0,6297,140.0,7,55,10,15,March,Tuesday
1911,Jet Airways,Kolkata,Banglore,1,14388,1495.0,8,25,9,20,May,Wednesday
1912,GoAir,Delhi,Cochin,1,6393,370.0,7,25,13,35,June,Saturday
1913,Jet Airways,Kolkata,Banglore,1,14939,775.0,21,10,10,5,June,Sunday
1914,Jet Airways,Kolkata,Banglore,1,14781,685.0,8,25,19,50,May,Tuesday
1915,IndiGo,Delhi,Cochin,1,14871,810.0,7,30,21,0,March,Wednesday
1916,SpiceJet,Banglore,Delhi,0,4319,170.0,9,30,12,20,April,Saturday
1917,Jet Airways,Kolkata,Banglore,1,13067,1005.0,17,0,9,45,May,Wednesday
1918,Jet Airways,Banglore,New Delhi,1,26890,920.0,16,55,8,15,March,Friday
1919,Jet Airways,Banglore,New Delhi,1,9134,375.0,7,0,13,15,March,Friday
1920,IndiGo,Banglore,Delhi,0,3943,180.0,21,15,0,15,April,Wednesday
1921,Air India,Delhi,Cochin,1,8879,735.0,7,0,19,15,June,Monday
1922,Jet Airways,Kolkata,Banglore,1,14571,1025.0,18,55,12,0,May,Friday
1923,IndiGo,Kolkata,Banglore,0,5644,155.0,9,35,12,10,June,Saturday
1924,Jet Airways,Kolkata,Banglore,1,9663,1330.0,6,30,4,40,June,Sunday
1925,Jet Airways,Kolkata,Banglore,1,14571,570.0,14,5,23,35,June,Sunday
1926,SpiceJet,Banglore,Delhi,0,3971,175.0,21,10,0,5,June,Sunday
1927,Jet Airways,Delhi,Cochin,1,17024,590.0,9,0,18,50,March,Wednesday
1928,SpiceJet,Kolkata,Banglore,0,3841,150.0,17,10,19,40,May,Wednesday
1929,Jet Airways,Delhi,Cochin,1,12898,1395.0,19,45,19,0,May,Monday
1930,Jet Airways,Delhi,Cochin,2,13376,830.0,14,35,4,25,June,Thursday
1931,Jet Airways,Delhi,Cochin,2,9905,910.0,21,25,12,35,June,Saturday
1932,Multiple carriers,Delhi,Cochin,1,13587,780.0,8,0,21,0,June,Saturday
1933,Multiple carriers,Delhi,Cochin,1,7740,900.0,6,0,21,0,June,Monday
1934,Multiple carriers,Delhi,Cochin,1,9794,395.0,6,0,12,35,May,Tuesday
1935,Jet Airways,Banglore,New Delhi,1,17471,1350.0,22,50,21,20,March,Wednesday
1936,Jet Airways,Delhi,Cochin,2,15129,880.0,13,45,4,25,March,Saturday
1937,Jet Airways,Kolkata,Banglore,1,11467,1730.0,9,35,14,25,May,Wednesday
1938,Air India,Kolkata,Banglore,1,6528,1440.0,14,35,14,35,June,Wednesday
1939,Multiple carriers,Delhi,Cochin,1,8266,705.0,7,30,19,15,June,Thursday
1940,IndiGo,Delhi,Cochin,1,6442,940.0,6,40,22,20,March,Wednesday
1941,Jet Airways,Delhi,Cochin,1,10262,825.0,22,50,12,35,June,Wednesday
1942,Jet Airways,Mumbai,Hyderabad,0,17501,85.0,7,10,8,35,March,Friday
1943,Air India,Banglore,Delhi,0,8273,165.0,6,10,8,55,May,Friday
1944,Air India,Delhi,Cochin,2,10703,1485.0,18,30,19,15,March,Thursday
1945,Multiple carriers,Delhi,Cochin,1,8510,930.0,10,0,1,30,June,Saturday
1946,IndiGo,Mumbai,Hyderabad,0,2754,90.0,20,5,21,35,March,Friday
1947,IndiGo,Mumbai,Hyderabad,0,2227,90.0,21,20,22,50,May,Saturday
1948,Multiple carriers,Delhi,Cochin,2,18275,460.0,17,50,1,30,June,Thursday
1949,SpiceJet,Delhi,Cochin,1,6356,270.0,8,45,13,15,April,Sunday
1950,Jet Airways,Kolkata,Banglore,1,14781,400.0,14,5,20,45,May,Wednesday
1951,Jet Airways,Delhi,Cochin,2,13029,1615.0,9,40,12,35,May,Monday
1952,GoAir,Banglore,Delhi,0,4340,170.0,11,40,14,30,May,Wednesday
1953,Air India,Kolkata,Banglore,2,12224,1215.0,17,30,13,45,June,Wednesday
1954,Jet Airways,Kolkata,Banglore,1,10844,1545.0,16,30,18,15,May,Friday
1955,IndiGo,Kolkata,Banglore,0,4174,165.0,9,35,12,20,April,Monday
1956,Air India,Banglore,New Delhi,2,14887,1795.0,17,0,22,55,March,Friday
1957,Multiple carriers,Delhi,Cochin,1,12853,615.0,9,0,19,15,April,Tuesday
1958,Air Asia,Banglore,Delhi,0,3383,165.0,11,10,13,55,May,Wednesday
1959,GoAir,Banglore,New Delhi,0,11111,175.0,11,40,14,35,March,Friday
1960,Jet Airways,Banglore,Delhi,0,7229,180.0,17,45,20,45,April,Monday
1961,Jet Airways,Banglore,Delhi,0,4030,180.0,17,45,20,45,May,Monday
1962,IndiGo,Delhi,Cochin,1,14871,635.0,15,0,1,35,March,Sunday
1963,Jet Airways,Delhi,Cochin,1,12898,520.0,19,45,4,25,May,Monday
1964,Multiple carriers,Delhi,Cochin,1,14533,465.0,11,30,19,15,May,Saturday
1965,Air India,Delhi,Cochin,1,7258,875.0,17,40,8,15,June,Thursday
1966,SpiceJet,Delhi,Cochin,1,4812,270.0,8,45,13,15,April,Monday
1967,Jet Airways,Kolkata,Banglore,1,12384,690.0,9,35,21,5,May,Thursday
1968,Air India,Delhi,Cochin,2,8603,1180.0,12,0,7,40,June,Thursday
1969,Air India,Delhi,Cochin,2,8603,435.0,12,0,19,15,June,Thursday
1970,Jet Airways,Kolkata,Banglore,1,14231,570.0,13,55,23,25,March,Sunday
1971,Jet Airways,Delhi,Cochin,2,15129,1760.0,23,5,4,25,May,Thursday
1972,Air Asia,Delhi,Cochin,1,11410,625.0,20,45,7,10,June,Saturday
1973,Air India,Banglore,New Delhi,2,12725,1475.0,8,50,9,25,March,Tuesday
1974,Jet Airways,Delhi,Cochin,2,13292,1620.0,9,35,12,35,June,Sunday
1975,SpiceJet,Kolkata,Banglore,0,3873,155.0,6,55,9,30,April,Wednesday
1976,IndiGo,Chennai,Kolkata,0,3850,140.0,7,55,10,15,June,Saturday
1977,SpiceJet,Kolkata,Banglore,1,8479,435.0,11,35,18,50,June,Sunday
1978,Jet Airways,Kolkata,Banglore,1,14151,840.0,9,35,23,35,May,Friday
1979,Air India,Banglore,Delhi,0,5228,165.0,6,10,8,55,April,Wednesday
1980,Vistara,Kolkata,Banglore,1,9397,1555.0,7,10,9,5,June,Sunday
1981,Jet Airways,Mumbai,Hyderabad,0,4995,85.0,7,5,8,30,June,Tuesday
1982,Air India,Delhi,Cochin,2,10651,1410.0,19,45,19,15,June,Saturday
1983,Air Asia,Banglore,Delhi,0,4282,170.0,4,55,7,45,April,Wednesday
1984,Air India,Kolkata,Banglore,2,10697,810.0,8,20,21,50,May,Tuesday
1985,Jet Airways,Kolkata,Banglore,1,9314,1730.0,9,35,14,25,May,Tuesday
1986,IndiGo,Chennai,Kolkata,0,3540,145.0,5,15,7,40,June,Thursday
1987,Air India,Delhi,Cochin,2,9443,1595.0,16,40,19,15,June,Wednesday
1988,Multiple carriers,Delhi,Cochin,1,15147,480.0,7,30,15,30,March,Wednesday
1989,Jet Airways,Banglore,Delhi,0,8016,180.0,8,20,11,20,June,Thursday
1990,IndiGo,Mumbai,Hyderabad,0,2437,90.0,21,20,22,50,May,Friday
1991,IndiGo,Delhi,Cochin,1,6104,895.0,10,35,1,30,May,Monday
1992,SpiceJet,Mumbai,Hyderabad,0,1965,90.0,22,45,0,15,June,Thursday
1993,Multiple carriers,Delhi,Cochin,1,7408,480.0,13,0,21,0,June,Wednesday
1994,IndiGo,Mumbai,Hyderabad,0,4049,90.0,6,25,7,55,June,Tuesday
1995,Jet Airways,Banglore,Delhi,0,8016,180.0,19,50,22,50,June,Saturday
1996,Multiple carriers,Delhi,Cochin,1,10197,720.0,7,0,19,0,May,Thursday
1997,Jet Airways,Kolkata,Banglore,1,10844,665.0,21,10,8,15,May,Wednesday
1998,Jet Airways,Kolkata,Banglore,1,12692,1570.0,17,0,19,10,June,Sunday
1999,Jet Airways,Kolkata,Banglore,1,14781,475.0,8,25,16,20,May,Monday
2000,GoAir,Kolkata,Banglore,1,7335,495.0,23,30,7,45,May,Friday
2001,Jet Airways,Banglore,Delhi,0,7229,180.0,8,20,11,20,May,Monday
2002,Vistara,Banglore,New Delhi,0,4353,175.0,21,10,0,5,March,Sunday
2003,Jet Airways,Kolkata,Banglore,1,13941,735.0,20,0,8,15,May,Saturday
2004,Jet Airways,Banglore,New Delhi,1,12295,280.0,9,45,14,25,March,Tuesday
2005,Jet Airways,Delhi,Cochin,1,12898,825.0,22,50,12,35,May,Monday
2006,Vistara,Kolkata,Banglore,1,7927,930.0,7,10,22,40,May,Thursday
2007,Air Asia,Banglore,Delhi,0,4483,170.0,23,55,2,45,April,Monday
2008,Jet Airways,Banglore,New Delhi,1,19225,405.0,11,40,18,25,March,Wednesday
2009,GoAir,Delhi,Cochin,1,4692,370.0,7,25,13,35,April,Wednesday
2010,Jet Airways,Banglore,New Delhi,1,13555,725.0,21,25,9,30,March,Monday
2011,IndiGo,Delhi,Cochin,1,6270,630.0,15,0,1,30,April,Tuesday
2012,Jet Airways,Kolkata,Banglore,1,13584,1285.0,18,55,16,20,May,Monday
2013,Jet Airways,Delhi,Cochin,2,13180,1600.0,16,10,18,50,March,Thursday
2014,Jet Airways,Kolkata,Banglore,1,14151,1295.0,20,25,18,0,May,Sunday
2015,Vistara,Delhi,Cochin,0,6216,190.0,6,0,9,10,May,Sunday
2016,Multiple carriers,Delhi,Cochin,1,15135,680.0,7,30,18,50,March,Sunday
2017,Multiple carriers,Delhi,Cochin,1,15136,570.0,11,30,21,0,March,Wednesday
